Prompt,File Name
"Skater woman, skateboard kickflip trick, skatepark, lens flare, baggy jeans and tank top, expert cinematography",1
"A gothic young woman cosplaying as Wednesday Addams, with pale skin, intense dark eyebrows, and long black braided hair. She wears a Victorian-style black dress with puffed sleeves, a crisp white collar with lace detailing, and a thin black ribbon tied neatly at the neck. Her expression is cold and emotionless, with dark eyeshadow, subtle blush, and deep red lips. She is seated in a dimly lit, gothic mansion with antique furniture, candle-lit chandeliers, and dark, moody lighting. The atmosphere is mysterious and eerie, evoking a classic gothic horror aesthetic.",2
"A stunning gothic woman with dark, voluminous curls styled in an intricate updo, standing in a dimly lit, grand Victorian-era mansion. Her piercing eyes and arched brows add to her mysterious allure, complemented by dark, dramatic makeup with deep red lips and smoky eyeshadow. She is dressed in a high-collared black lace blouse beneath a tailored black corset blazer adorned with intricate embroidery and silver buttons. Her delicate, dangling black earrings add to her regal presence. The background features tall gothic windows casting soft, diffused light into the shadowy interior, enhancing the moody and elegant atmosphere",3
"A fierce and mysterious woman with long, messy black hair tied in a loose bun, standing in a neon-lit Japanese night market. She has piercing dark eyes, sharp facial features, and an intense gaze. She wears a fitted, off-white cropped tank top and loose black jogger pants, revealing a toned, athletic physique. A katana is strapped to her back, partially visible over her shoulder, giving her the aura of a modern-day assassin. The warm glow of Japanese lanterns and noodle shop signs illuminates the steamy, bustling background, filled with blurred figures enjoying late-night food. The atmosphere is cinematic, with a blend of cyberpunk and gritty action-film aesthetics.",4
"Wednesday addams, black minidress, pale skin, thick thighs, black braided pigtails hair, dark eyes, victorian gothic room, sexy pose, slutty, cropped closeup",5
"A rebellious and stylish woman with a striking undercut and vibrant purple hair swept to one side, standing confidently in a futuristic urban cityscape. Her intense gaze, bold winged eyeliner, and sharply contoured face exude attitude and strength. She wears a black cropped top beneath a sleek, fitted black leather jacket, accessorized with silver hoop earrings. The city skyline behind her is blurred, with towering skyscrapers reflecting neon lights and subtle cyberpunk vibes. The perspective is shot from below, enhancing her dominant and edgy presence, while the cool-toned lighting and soft cinematic depth add to the high-fashion, cyberpunk-inspired aesthetic.",6
Cyberpunk net runner hacker sci fi futuristic apartment full of old computers and neon bathed light,7
"A stunning gothic woman with long, wavy dark hair and soft curtain bangs, wearing a vintage-inspired black lace dress with sheer ruffled sleeves. Her skin is fair and glowing with soft blush and defined lips, and her large expressive eyes are framed by bold eyebrows and subtle makeup. She is standing in front of an ornate, gold-framed mirror in a richly decorated Victorian interior, softly lit by warm ambient light. The composition is cinematic and elegant, with a painterly depth-of-field and moody, romantic atmosphere.",8
"Woman, gothic, Victorian Style, low plunge neckline, massive breasts, Horror Cinematic shot, victorian london street, gaslight, misty and ominous, ((squeezing massive naked breastswith her arms)), thicc thighs, (leaning forward, low angle)",9
Woman drinking coffee dark goth aesthetic morning tired dark steam from coffee dark kitchen with blue wall background,10
Bright white light over exposed glowing aura fantasy angel beautiful graceful divinity a woman posse,11
"woman, morning, black fitted tshirt, massive breasts, slim waist, panties, room with black painted walls and wooden shelves with green plants and artwork, arms up, armpits,",12
woman with long dark brown hair huge breasts is wearing a pink latex button office shirt and grey skirt,13
goth Woman playing pool in a dark dingy bar leaning over the table taking her turn wearing a low-cut,14
"woman, 35mm film grain, pale goth woman, covered latex, horror cult, crypt, tomb, dark, dramatic lighting, intense stare, gothic makeup, deep V-neck black dress, heart choker necklace, messy black hair with bangs, seated in stone alcove, tattoo on forearm, dark romantic aesthetic, moody shadows, cinematic horror atmosphere, RAW photo look",15
realistic photo of ohwx woman in a museum setting wearing corset with dark red hair and makeup,16
"dark gothic woman in a subway station, cinematic portrait, deep red lipstick, heavy eyeliner, flawless porcelain skin, intense eye contact, black leather corset with ornate metallic detailing, black lace choker, intricate golden crown headpiece with chains, tousled black hair with bangs, dramatic soft lighting, shallow depth of field, moody urban atmosphere, dark romance, 4K ultra-realistic, editorial style
",17
Portrait of a goth woman pale skin Victorian fashion,18
"woman, Psylocke, XMen, puple leotard with red sash belt, Purple strappy Gloves and stockings, Big athletic body, fit and sexy, slim waist, wide hips, Long straight black hair, Katana, Cinematic movie still, dark destroyed city background, closeup, large breasts, night,",19
woman Goth woman with pale skin under the shade of a black victorian lace black lingerie thicc thigh,20
woman 35mm film grain Marilyn Monroe,21
"Persian warrior woman holding a golden sword intricately designed with Persian patterns and gemstone insets, wearing elegant black and gold battle armor with royal embroidery, long flowing black hair, deep brown eyes, and bold regal makeup. She stands confidently in a palace setting with soft ambient lighting highlighting the ornate details of her armor and jewelry. Her gloves are leather, and she wears a golden headpiece and matching earrings, exuding power and nobility. Cinematic portrait, ultra-detailed, fantasy realism, 4K, richly decorated background, dramatic lighting.

",22
"Goth woman, dark misty graveyard, dof, cinematic, pale skin",23
woman Goth woman with pale skin under the shade of a black victorian lace parasol black lingerie thights,24
woman 35mm film grain pale skin and dark makeup black silk robes gold jewellery prayer red pumice rosary. Her hands in a praying position. ,25
woman 35mm pink mohawk with shaved sides massive breasts,26
Wednesday addams short black minidress white collar pale skin thick thighs black braided pigtails hair,27
Portrait of a woman pale skin Victorian fashion,28
"Bodybuilder woman, Lara Croft Tomb Raider style, wearing tight brown tactical shorts, green tank top, and brown leather backpack with visible straps. Athletic, curvy build with defined arms and a strong pose, holding dual pistols in a jungle environment. Long dark hair in a high ponytail, intense expression, cinematic lighting. Fingerless gloves, tactical belt with holsters and gear, fitted outfit showing muscular definition. Photorealistic, 4K ultra detail, action-adventure aesthetic, cinematic jungle background, high dynamic range.",29
