Prompt,File Name
"photo of a woman with (wide hips++++) and dark hair. She has a confident smirk on her face, wearing a tight cropped hot pink cashmere deep plunge sweater with a low rise tan plaid mini skirt, black open toe wedge style high heels, midriff exposed, legs in a (wide stance+) modeling pose, hands on her hips, wind blowing her hair back, full body shot, standing in an empty school hallway, lockers on both side, cinematic tone, dynamic lighting and background, dof",1
"woman, twisting her upper body to take a mirror selfie of her butt, view from behind, wearing skin tight leggings accentuating her large muscular glutes and a sports bra, smile, standing in a gym setting, bright daylight, cinematic tone, dynamic lighting and background, dof",2
"LORA Cameltoe, scale 1.0, weight 0.6: voluptuous woman with (wide hips+), angry expression on her face, hair in a long ponytail resting on her left shoulder, wearing a gray business pant suit with an unbuttoned white collared shirt on underneath, (cleavage from her large breasts++), Cameltoe, pearl necklace and silver hoop earrings, standing in an office setting, arms crossed angrily under her breasts, cinematic tone, dynamic lighting and background, dof, ",3
"woman wearing a deep plunge thin fabric sundress and a (sheer shawl+) draped from her arms, standing in a prairie with mountains in the back ground, hoop earrings, her hands are behind her head, hair and shawl blowing in the wind, mid body shot, from the side, cinematic tone, dynamic lighting and background, dof",4
"woman with (large breasts+), facing the viewer's left, wearing a thin fabric sundress, dancing on a mountainside with the sun setting in the back ground, golden hour, hair blowing in the wind and highlighted by the sun behind it, silhouette of her body visible as sun shines through the thin fabric of the sundress, (from the side++), midbody shot cinematic tone, dynamic lighting and background, dof",5
"woman wearing a black lace bra and tiny thong accentuating her toned large glutes, sandal style high heels, view from behind, she's looking back at the viewer over her left shoulder smiling, leaning on her elbows on a balcony railing overlooking a city at dusk, full body shot, cinematic tone, dynamic lighting and background, dof",6
"LORA Cameltoe, scale 1.0, weight 0.6: woman wearing a matching blue Adidas track suit, hands in pocket of hoodie, (hoodie completely unzipped+) exposing bare chest and midriff, hair in a braided ponytail, standing in a sports park, Cameltoe",7
"LORA Sideboob, scale 1.1, weight 1.0: curvy woman with (large breasts+), hair in a ponytail, view from the side and below, looking back at viewer over her left shoulder, wearing a black string thong bikini, (sideboob++), thong accentuating her (large toned glutes and thighs++), standing bent over in a gym setting, dynamic lighting and background, dof, ",8
"woman wearing very short cut-off distressed denim shorts and a (sleeveless denim+ top), large hoop earrings, view from behind, she's looking back over her left shoulder smiling at the viewer, in a bar setting, mid-full body shot, dynamic lighting and background, dof",9
"LORA Cameltoe, scale 1.0, weight 0.6: curvy woman, wearing gray skin tight yoga pants and a gray (cropped+ unzipped++ hoodie++), midriff and cleavage+ exposed, standing in front of a window in a bedroom, posing with her (back arched++) and leg bent to accentuate her wide hips+, from the front, her right hand on the window sill, bright natural lighting, cinematic tone, dynamic background, dof, Cameltoe",10
"woman wearing a loose deep plunge beige knit sweater dress, cleavage, posing with one leg bent in a kitchen setting, bright natural light, cityscape with mountains visible through the window behind her, cinematic tone, dynamic background, dof",11
"woman with wide hips, smiling, wearing a (short white long-sleeve button-down collared shirt) with (very short cut-off distressed denim shorts), shirt unbuttoned, cleavage, midriff exposed, posing in a bar setting with her right hand behind her head, cinematic tone, dynamic lighting and background, dof",12
"woman laying a a bed legs apart, dimly lit, wearing a white lingerie bra and panty set, lingerie lit up by uv lamp, glowing, eyes closed, sleeping, hands draped across her breasts, view from above, mid-full body shot, dynamic lighting, dof",13
"woman with long black hair, wearing a black lace-up spaghetti-strap satin corset dress, high leg slit, the corset is cinched very tight making her waist look tiny against her wide hips and extra large breasts, mansion bedroom setting, mid-full body shot, cinematic tone, dynamic lighting and background, lof",14
"woman with dark hair, sitting at a poker table, her hair is done up in an elegant updo, she is wearing a black crushed velvet long sleeved evening gown, collar up with jagged neckline, cleavage, holding a lit and smoking cigarillo, cinematic tone, dynamic lighting and background, dof",15
"woman with dark hair, hair done up, wearing a tiara decorated with rubies, matching long earrings, wearing a red v-shaped bodice dress, ruffled shoulders, a gold jewel on the center of her dress, long white silk gloves, (cleavage+), standing in a gold themed ballroom during a masquerade, cinematic tone, dynamic lighting and background, dof",16
"woman with dark hair cut in a very short bob with (bangs covering one eye+), (wide hips+++), (small waist++), dressed as Sergeant Calhoun from Wreck it Ralph, sexy black body suit, scratched and worn black metal armor with glowing red lights covering arms and legs, worn metal high heel boots, cleavage, holding up a long space blaster rifle, standing in an action pose, standing in a bright sunny rainbow themed landscape where the (ground and foliage are made of candy++), full body view, wide angle, dynamic lighting and background, dof, anime, cyberpunk",17
"woman with dark hair tucked underneath a blue baseball cap with the letters ""FF"" in a yellow logo, (wide hips+++), (small waist++), wearing a denim thong, a camel colored utility belt, camel colored gloves and work boots, holding a golden hammer, standing in an action pose in front of a tall brick building with lots of windows, full body view, wide angle, dynamic lighting and background, dof, anime, art",18
"Woman with dark hair, (wide hips++), (bubble butt+), in a large and open+ atrium of a grand home. Light blue button-up short-sleeved shirt tied at the front and a short+, pleated white tennis skirt and white sandals with a slightly raised heal. Calm, thoughtful expression. Neutral, perhaps slightly wistful, emotional tone. One of her hands holds the skirt. She leans on a wall. Natural, bright sunlight illuminating the scene. Warm, muted pastel color palette of light beige, off-white, and light blue. Detailed wall paneling and ornate molding. A textured, slightly marbled or stuccoed wall design. Natural lighting; low contrast. Classic, 1980s/1990s aesthetic, evoking a nostalgic and somewhat melancholic mood. wide shot, soft focus on the subject, cinematic tone, dynamic lighting and background, dof",19
"woman with dark hair, (wide hips++), (bubble butt++), wearing white tiny underwear from Victoria's Secret and white angel wings, multiple pearl necklaces, pink background, cleavage, cinematic tone, dynamic lighting and background, dof",20
"old polaroid photo, sepia, woman with dark hair, (wide hips++), (bubble butt++), wearing a tight black sports bra and short tight gym shorts, standing in a gym, cleavage, full body view, dof, The scene is framed with subtle film grain, evoking the visual style of a classic film noir",21
"woman with dark hair, (wide hips++), (bubble butt++), running outside in the snow, wearing a pink thong bikini, white snow cap and white furry boots, laughing, large snowflakes falling all around her, full body shot, cinematic tone, dramatic lighting and background, dof",22
"woman with dark hair, (wide hips+++), (bubble butt++), wearing skin tight denim jeans with cowboy boots, plaid collared shirt unbuttoned and cropped exposing belly, cleavage, brown leather jacket, in a field",23
"Woman, (wide hips++), (bubble butt++), wearing a white sheer angelic dress, highly detailed head and torso portrait of a realistic angel in a storm-filled sky, captured in the style of cinematic realism. Posted amidst tumultuous storm clouds. The angel's wings are glowing with intensity and contrast sharply against the dark backdrop. Light seems to emanate from the feathers, flickering in intricate detail, casting light and shadows across the wings' delicate structure. Mid body shot",24
